Approach,Reduction,Method,Silhouette,DaviesBouldin,CalinskiHarabasz,Dunn,SDIndex,XieBeni,n_clusters,ARI,NMI,Homogeneity,Completeness,VMeasure,FMI,Purity
Feature-Based,NONE,KMeans,0.26751139161896104,1.6417101426720018,97.00733817129884,0.0945810679660197,0.9678402782696623,4.855318529160348,6,0.5923505323592974,0.7523352001311545,0.687484606120754,0.8306948523096025,0.7523352001311545,0.6985099587207446,0.7060518731988472
Feature-Based,NONE,MiniBatchKMeans,0.16531236005192768,1.8279973018788667,74.66140762290858,0.05350288593915046,0.766093389414996,8.431856110336117,6,0.3860729550939084,0.5728091994737644,0.5076151166662701,0.6572169638553005,0.5728091994737644,0.5368991714998935,0.5561959654178674
Feature-Based,NONE,CAH_Ward,0.2695802766897313,1.7425286648063991,105.41003610413557,0.10303016944467212,1.1837260334328288,5.074505607092963,6,0.6291256416636151,0.7818324696306925,0.7033544461503544,0.8800225511946586,0.7818324696306925,0.7319947377862576,0.7089337175792507
Feature-Based,NONE,GMM,0.26751139161896104,1.6417101426720018,97.00733817129884,0.0945810679660197,0.9678402782696623,4.855318529160348,6,0.5923505323592974,0.7523352001311545,0.687484606120754,0.8306948523096025,0.7523352001311545,0.6985099587207446,0.7060518731988472
Feature-Based,NONE,Spectral,0.20623514153775807,1.7388006919355063,83.48009804124425,0.08707357990906818,0.9150353769968754,7.33315502429358,6,0.7258342479148951,0.8228746766389379,0.785605150504289,0.8638564878314343,0.8228746766389378,0.7867005717906389,0.8155619596541787
Feature-Based,NONE,Birch,0.2695802766897313,1.7425286648063991,105.41003610413557,0.10303016944467212,1.1837260334328288,5.074505607092963,6,0.6291256416636151,0.7818324696306925,0.7033544461503544,0.8800225511946586,0.7818324696306925,0.7319947377862576,0.7089337175792507
Feature-Based,NONE,Affinity,0.1370412995516318,1.0960203352115099,54.74763762605979,0.10792235573412429,0.7276510522644755,6.549279999828934,26,0.5472066025944325,0.7419259856370569,0.9126865252848004,0.6249920939993,0.7419259856370568,0.6327420978693931,0.9538904899135446
Feature-Based,NONE,DBSCAN,,,,,,,1,0.0,0.0,0.0,1.0,0.0,0.4222454454520034,0.0
Feature-Based,NONE,OPTICS,-0.03735924856953734,1.5465803383837406,23.87564940193342,0.07750710571083938,0.7886999423065136,11.985530787202263,5,0.28116009895644933,0.5240201170673493,0.41906122229807424,0.6991241118609326,0.5240201170673494,0.5142855149205031,0.3861671469740634
Feature-Based,NONE,HDBSCAN,0.462412113507953,1.9895072262757119,161.34971511708062,0.23169682631355562,1.5286732702363979,3.5870587193405017,3,0.34585859576141126,0.5405690905948087,0.4017589850333276,0.8259342637777327,0.5405690905948086,0.5744864895816687,0.42363112391930835
